Name,Rank,Tuition and fees,Undergrad Enrollment,Cluster
Princeton University,1,45320.0,5402.0,default_value
Harvard University,2,47074.0,6699.0,default_value
University of Chicago,3,52491.0,5844.0,default_value
Yale University,3,49480.0,5532.0,default_value
Columbia University,5,55056.0,6102.0,default_value
Stanford University,5,47940.0,6999.0,default_value
Massachusetts Institute of Technology,7,48452.0,4527.0,default_value
Duke University,8,51265.0,6639.0,default_value
University of Pennsylvania,8,51464.0,9726.0,default_value
Johns Hopkins University,10,50410.0,6524.0,default_value
Dartmouth College,11,51438.0,4307.0,default_value
California Institute of Technology,12,47577.0,1001.0,default_value
Northwestern University,12,50855.0,8314.0,default_value
Brown University,14,51367.0,6652.0,default_value
Cornell University,15,50953.0,14315.0,default_value
Rice University,15,43918.0,3910.0,default_value
University of Notre Dame,15,49685.0,8462.0,default_value
Vanderbilt University,15,45610.0,6883.0,default_value
Washington University in St. Louis,19,49770.0,7504.0,default_value
Emory University,20,47954.0,6867.0,default_value
Georgetown University,20,50547.0,7562.0,default_value
University of California--Berkeley,20,40191.0,27496.0,default_value
University of Southern California,23,52217.0,18810.0,default_value
Carnegie Mellon University,24,52040.0,6454.0,default_value
University of California--Los Angeles,24,39518.0,29585.0,default_value
University of Virginia,24,45066.0,16736.0,default_value
Tufts University,27,52430.0,5290.0,default_value
University of Michigan--Ann Arbor,27,43476.0,28312.0,default_value
Wake Forest University,27,49308.0,4871.0,default_value
University of North Carolina--Chapel Hill,30,33916.0,18415.0,default_value
Boston College,31,51296.0,9192.0,default_value
College of William & Mary,32,41718.0,6301.0,default_value
University of Rochester,32,50142.0,6304.0,default_value
Brandeis University,34,51570.0,3621.0,default_value
Georgia Institute of Technology,34,32404.0,15142.0,default_value
New York University,36,49062.0,25722.0,default_value
Case Western Reserve University,37,46006.0,5121.0,default_value
University of California--Santa Barbara,37,40704.0,20607.0,default_value
Boston University,39,50240.0,17932.0,default_value
Northeastern University,39,47655.0,13697.0,default_value
Rensselaer Polytechnic Institute,39,50797.0,5864.0,default_value
Tulane University,39,51010.0,6662.0,default_value
University of California--Irvine,39,39458.0,25256.0,default_value
Lehigh University,44,48320.0,5075.0,default_value
University of California--Davis,44,40728.0,28384.0,default_value
University of California--San Diego,44,41387.0,26590.0,default_value
University of Illinois--Urbana-Champaign,44,31320.0,33368.0,default_value
University of Miami,44,47004.0,11122.0,default_value
University of Wisconsin--Madison,44,32738.0,31662.0,default_value
Pepperdine University,50,50022.0,3533.0,default_value
University of Florida,50,28666.0,35043.0,default_value
Villanova University,50,49280.0,6994.0,default_value
Pennsylvania State University--University Park,50,32382.0,40742.0,default_value
Ohio State University--Columbus,54,29229.0,45289.0,default_value
University of Washington,54,34791.0,31063.0,default_value
George Washington University,56,51950.0,11157.0,default_value
Southern Methodist University,56,50358.0,6411.0,default_value
University of Georgia,56,29844.0,27547.0,default_value
University of Texas--Austin,56,34676.0,39619.0,default_value
Fordham University,60,47317.0,8855.0,default_value
Purdue University--West Lafayette,60,28804.0,29497.0,default_value
Syracuse University,60,45022.0,15196.0,default_value
University of Connecticut,60,35858.0,18826.0,default_value
University of Maryland--College Park,60,32045.0,27443.0,default_value
Worcester Polytechnic Institute,60,46994.0,4299.0,default_value
Clemson University,66,32796.0,18016.0,default_value
Yeshiva University,66,40670.0,2744.0,default_value
Brigham Young University--Provo,68,5300.0,30221.0,default_value
University of Pittsburgh,68,29758.0,18908.0,default_value
Rutgers University--New Brunswick,70,30023.0,35484.0,default_value
Baylor University,71,42006.0,14189.0,default_value
Stevens Institute of Technology,71,48838.0,2873.0,default_value
University of Minnesota--Twin Cities,71,22210.0,34071.0,default_value
American University,74,44853.0,7909.0,default_value
Clark University,74,43150.0,2397.0,default_value
Texas A&M University--College Station,74,28768.0,48960.0,default_value
University of Massachusetts--Amherst,74,30123.0,22748.0,default_value
Virginia Tech,74,29371.0,25384.0,default_value
Miami University--Oxford,79,31592.0,16387.0,default_value
University of California--Santa Cruz,79,40241.0,16231.0,default_value
University of Delaware,79,31420.0,18322.0,default_value
Colorado School of Mines,82,34828.0,4608.0,default_value
Michigan State University,82,39090.0,39143.0,default_value
Texas Christian University,82,42670.0,8894.0,default_value
University of Iowa,82,28413.0,23357.0,default_value
Binghamton University--SUNY,86,22164.0,13491.0,default_value
Indiana University--Bloomington,86,34246.0,38364.0,default_value
Marquette University,86,38470.0,8334.0,default_value
University of Denver,86,46362.0,5758.0,default_value
University of San Diego,86,46140.0,5647.0,default_value
University of Tulsa,86,38796.0,3478.0,default_value
Florida State University,92,24673.0,32706.0,default_value
North Carolina State University--Raleigh,92,26399.0,24111.0,default_value
University of Colorado--Boulder,92,35079.0,27010.0,default_value
University of Vermont,92,40364.0,10973.0,default_value
Drexel University,96,51030.0,14138.0,default_value
Saint Louis University,96,40726.0,8248.0,default_value
Stony Brook University--SUNY,96,26266.0,16831.0,default_value
Auburn University,99,28840.0,21786.0,default_value
Loyola University Chicago,99,41384.0,11079.0,default_value
SUNY College of Environmental Science and Forestry,99,17620.0,1839.0,default_value
University at Buffalo--SUNY,99,26270.0,19951.0,default_value
Illinois Institute of Technology,103,45214.0,2991.0,default_value
University of Alabama,103,26950.0,31958.0,default_value
University of Oregon,103,33442.0,20538.0,default_value
University of Tennessee,103,30858.0,21863.0,default_value
Rochester Institute of Technology,107,38568.0,12607.0,default_value
University of New Hampshire,107,31424.0,13034.0,default_value
University of San Francisco,107,44494.0,6782.0,default_value
University of South Carolina,107,31282.0,25237.0,default_value
Iowa State University,111,21483.0,30034.0,default_value
